,T_out,P_el
"(0, 0)",,
"(0, 300)",291.75705466779567,0.5803528491866324
"(0, 600)",290.55812737201353,0.5204064724365234
"(0, 900)",289.52624735419005,0.4688124612508785
"(0, 1200)",289.9762475393122,-6.283170511833773e-08
"(0, 1500)",290.4262477330689,-6.570912901430567e-08
"(0, 1800)",290.87624793546007,-6.858655296548524e-08
"(0, 2100)",290.7016636072225,0.20651347708795098
"(0, 2400)",290.5370346640181,0.20329141687488922
"(0, 2700)",290.3817932358769,0.2002530858299527
"(0, 3000)",290.5144022694063,0.10646998104816605
"(0, 3300)",290.642986737007,0.10779088557045963
"(0, 3600)",290.76766875115237,0.10907170151507957
"(0, 3900)",290.8501336384372,0.12296758595576794
"(0, 4200)",290.92983884879806,0.12388357052543376
"(0, 4500)",291.0068425470728,0.12476850890157584
"(0, 4800)",291.08143490415443,0.12555815539607423
"(0, 5100)",291.15350039483906,0.1263858976053456
"(0, 5400)",291.22312460815886,0.12718559937112361
"(0, 5700)",291.29028378048093,0.12799319081619745
"(0, 6000)",291.35516723097794,0.12873865116747005
"(0, 6300)",291.4178520663388,0.12945885114188033
"(0, 6600)",291.4831221900873,0.128607397618096
"(0, 6900)",291.54620733840653,0.12932328302174861
"(0, 7200)",291.6071819494167,0.13001521821059317
"(0, 7500)",291.8229210793454,0.07880854221664453
"(0, 7800)",292.0343343287762,0.08023587731808764
"(0, 8100)",292.24150844179366,0.08163459232018086
"(0, 8400)",291.677220172307,0.33013459896761294
"(0, 8700)",291.15939023580427,0.3153041736035308
"(0, 9000)",290.68419413937346,0.30169476297536685
"(0, 9300)",291.13419384757833,9.884463760441024e-08
"(0, 9600)",291.58419354497016,1.0289409791328759e-07
"(0, 9900)",292.0341932288721,1.06943558100773e-07
"(0, 10200)",292.3624110787506,0.04113900968955601
"(0, 10500)",292.6873279742657,0.04223353223933736
"(0, 10800)",293.00897710015744,0.043317046904981366
"(0, 11100)",293.0445659973574,0.13832727688925975
"(0, 11400)",293.07902774701523,0.1386969675006372
"(0, 11700)",293.11239804738744,0.13905494952038125
"(0, 12000)",293.14537387036506,0.1391840501860581
"(0, 12300)",293.17730696151034,0.13952606242863677
"(0, 12600)",293.2082302931521,0.13985725986751568
"(0, 12900)",293.23794404708036,0.1402540855523578
"(0, 13200)",293.2667177010459,0.14056243211239933
"(0, 13500)",293.29458099844425,0.14086102303569664
"(0, 13800)",293.3216196722166,0.1411314744440655
"(0, 14100)",293.3478029967954,0.14141202393574595
"(0, 14400)",293.3731580305433,0.141683698444005
"(0, 14700)",293.3976949739517,0.14195203224126712
"(0, 15000)",293.4214556794323,0.1422066335464076
"(0, 15300)",293.4444647036429,0.14245318041761698
"(0, 15600)",293.4667501001912,0.14269052467253038
"(0, 15900)",293.48833049461643,0.14292176110634527
"(0, 16200)",293.5092281897747,0.1431456823381884
"(0, 16500)",293.5294636298562,0.14336289829293294
"(0, 16800)",293.54905891680136,0.14357286464188873
"(0, 17100)",293.56803430201256,0.14377618865362457
"(0, 17400)",293.5864097062717,0.14397297869828415
"(0, 17700)",293.6042038005039,0.1441636448662458
"(0, 18000)",293.62143497458214,0.14434827926730565
"(0, 18300)",293.63812095321504,0.14452710008860734
"(0, 18600)",293.6542790670773,0.14470023653567124
"(0, 18900)",293.6699260152924,0.144867895771425
"(0, 19200)",293.6850779911229,0.14503024371088025
"(0, 19500)",293.6997506307389,0.14518746308566208
"(0, 19800)",293.71395909805096,0.14533970878963062
"(0, 20100)",293.7277180712297,0.14548714014354502
"(0, 20400)",293.7410417761449,0.1456299054973451
"(0, 20700)",293.7539439826075,0.14576815443652127
"(0, 21000)",293.7664380264362,0.1459020293077154
"(0, 21300)",293.77853681833216,0.14603166954742933
"(0, 21600)",293.7902528621804,0.14615720858852005
"(0, 21900)",293.80159826587004,0.1462787763154376
"(0, 22200)",293.81258475511993,0.14639649807754762
"(0, 22500)",293.82322368427015,0.1465104956847941
"(0, 22800)",293.8335260485789,0.1466208869140595
"(0, 23100)",293.84350249523726,0.14672778592913166
"(0, 23400)",293.85316333472446,0.14683130316941764
"(0, 23700)",293.86251855131474,0.14693154562830316
"(0, 24000)",293.87157781348924,0.14702861688392713
"(0, 24300)",293.8803504838334,0.1471226172681855
"(0, 24600)",293.88884562875654,0.14721364392522907
"(0, 24900)",293.89707202782756,0.14730179093672863
"(0, 25200)",293.9050381828831,0.14738714939736572
"(0, 25500)",293.9127523267958,0.14746980752568034
"(0, 25800)",293.9202224320018,0.14754985074311053
"(0, 26100)",293.9274562187218,0.1476273617750576
"(0, 26400)",293.934461162948,0.14770242072674147
"(0, 26700)",293.94124450416217,0.14777510517237258
"(0, 27000)",293.947813252826,0.14784549022894639
"(0, 27300)",293.95417419762276,0.14791364863854858
"(0, 27600)",293.9603339124765,0.14797965084089287
"(0, 27900)",293.96629876334254,0.14804356504847566
"(0, 28200)",293.9720749147943,0.1481054573132495
"(0, 28500)",293.97766833637434,0.14816539160431358
"(0, 28800)",293.9830848087839,0.1482234298603773
"(0, 29100)",293.98832992982153,0.1482796320723677
"(0, 29400)",293.9934091202558,0.14833405630510646
"(0, 29700)",293.9983276293395,0.1483867588148008
"(0, 30000)",294.00309054037507,0.14843779403200563
"(0, 30300)",294.0077027756311,0.14848721477497778
"(0, 30600)",294.01216910177027,0.14853507208144603
"(0, 30900)",294.01649413422706,0.14858141555336352
"(0, 31200)",294.02068234329323,0.1486262927967144
"(0, 31500)",294.0247380574078,0.1486697503382081
"(0, 31800)",294.02866546971774,0.14871183255281697
"(0, 32100)",294.0324686374419,0.14875258402441907
"(0, 32400)",294.03615149108583,0.14879204631390275
"(0, 32700)",294.0397178306833,0.14883026221556958
"(0, 33000)",294.04317134831115,0.1488672671382313
"(0, 33300)",294.0465156131179,0.1489031014016898
"(0, 33600)",294.0497541042528,0.1489377945244309
"(0, 33900)",294.05289014498436,0.14897139763615444
"(0, 34200)",294.0559269763543,0.14900393770579812
"(0, 34500)",294.058867651244,0.14903547645195148
"(0, 34800)",294.06171529719705,0.14906598937953286
"(0, 35100)",294.06447285720577,0.14909553702352854
"(0, 35400)",294.06714350105455,0.1491240449871038
"(0, 35700)",294.06972965852214,0.14915175600858724
"(0, 36000)",294.07223400235296,0.14917859038606276
"(0, 36300)",294.07465792462904,0.14920496820416676
"(0, 36600)",294.0770051654082,0.14923011926983007
"(0, 36900)",294.0792781505319,0.14925447467410294
"(0, 37200)",294.0814836879226,0.14927659700246426
"(0, 37500)",294.08361945318126,0.14929948184207978
"(0, 37800)",294.08568765354795,0.1493216427202442
"(0, 38100)",294.0876736397484,0.14934860887457163
"(0, 38400)",294.0895967969603,0.14936921639212963
"(0, 38700)",294.0914591128523,0.1493891719668506
"(0, 39000)",294.0933237217821,0.14938841848776427
"(0, 39300)",294.09512934969035,0.14940776393960697
"(0, 39600)",294.0968778622557,0.14942649745910866
"(0, 39900)",294.0983243981913,0.14952554844225557
"(0, 40200)",294.099725152351,0.14954056447772945
"(0, 40500)",294.1010815736936,0.14955510526695773
"(0, 40800)",294.10309024821254,0.14934115490391636
"(0, 41100)",294.10503544818465,0.14936197455068895
"(0, 41400)",294.1069191794191,0.14938213629214353
"(0, 41700)",293.73328926744915,0.2708607759394329
"(0, 42000)",293.3813570242649,0.2638429882305734
"(0, 42300)",293.0498618880518,0.2572327314623535
"(0, 42600)",293.49972288500317,4.694926955206844e-05
"(0, 42900)",293.9495791344854,4.853135649863341e-05
"(0, 43200)",294.3994306365557,5.0113426749157245e-05
"(900.0, 0)",,
"(900.0, 300)",293.60000031006746,-1.047175657855532e-07
"(900.0, 600)",294.0500006306481,-1.0822112988128446e-07
"(900.0, 900)",294.500000960567,-1.117246940497187e-07
"(900.0, 1200)",294.5323892830816,0.13936032645176658
"(900.0, 1500)",294.56384963992144,0.13966516631621417
"(900.0, 1800)",294.5944086184557,0.13996127213985346
"(900.0, 2100)",294.1485109859157,0.2940035332227786
"(900.0, 2400)",293.7298417064872,0.28521043747654873
"(900.0, 2700)",293.33674051572774,0.27695433515869233
"(900.0, 3000)",293.39987033096065,0.12925853830578135
"(900.0, 3300)",293.46117905475666,0.12985663291541277
"(900.0, 3600)",293.52071921065476,0.13043747433722713
"(900.0, 3900)",293.5103928966439,0.1533830448058729
"(900.0, 4200)",293.50041619181167,0.15326850795234345
"(900.0, 4500)",293.490777259739,0.15315784887506773
"(900.0, 4800)",293.48123567790066,0.1531259280011522
"(900.0, 5100)",293.472017298275,0.15302004337282854
"(900.0, 5400)",293.4631111730262,0.15291774537686179
"(900.0, 5700)",293.4543874198063,0.15285798511498314
"(900.0, 6000)",293.44595924334146,0.152761151338879
"(900.0, 6300)",293.4378166289491,0.15266759846866357
"(900.0, 6600)",293.4356326347559,0.15071565465125922
"(900.0, 6900)",293.43352171993615,0.1506917078872843
"(900.0, 7200)",293.4314814391561,0.15066856241413276
"(900.0, 7500)",293.61270230023825,0.09019325613226156
"(900.0, 7800)",293.79031705122435,0.09138318460065517
"(900.0, 8100)",293.9643974414833,0.09254943465031662
"(900.0, 8400)",293.2563143761786,0.3760105939417492
"(900.0, 8700)",292.60662620403025,0.3573715144511463
"(900.0, 9000)",292.01054138429265,0.34027027601934373
"(900.0, 9300)",292.46054173238286,-1.1770515096489453e-07
"(900.0, 9600)",292.9105420919522,-1.2200775286567383e-07
"(900.0, 9900)",293.36054246586457,-1.2631035490359035e-07
"(900.0, 10200)",293.6754406708261,0.04555541273096762
"(900.0, 10500)",293.98717230413473,0.04660536471126083
"(900.0, 10800)",294.2957691967153,0.04764475848416201
"(900.0, 11100)",294.291145091675,0.15151667968612503
"(900.0, 11400)",294.2866672639784,0.15146870156409972
"(900.0, 11700)",294.28233108633873,0.15142224116543812
"(900.0, 12000)",294.2781499412304,0.15137139228164087
"(900.0, 12300)",294.2741010558227,0.15132801183735714
"(900.0, 12600)",294.2701802464223,0.15128600362111672
"(900.0, 12900)",294.26637718828067,0.15124738158053536
"(900.0, 13200)",294.26269443170014,0.1512079233482728
"(900.0, 13500)",294.25912817119973,0.15116971329228426
"(900.0, 13800)",294.25567627112787,0.15113220378173614
"(900.0, 14100)",294.2523335641141,0.15109638907367906
"(900.0, 14400)",294.24909659608267,0.1510617072829768
"(900.0, 14700)",294.245961598373,0.15102826157590699
"(900.0, 15000)",294.2429257693242,0.15099573481421785
"(900.0, 15300)",294.23998597195686,0.15096423696409395
"(900.0, 15600)",294.2371392812783,0.15093369849879903
"(900.0, 15900)",294.2343826392882,0.15090416303650972
"(900.0, 16200)",294.2317131974978,0.15087556186246684
"(900.0, 16500)",294.22912816730127,0.15084787533445285
"(900.0, 16800)",294.22662490875507,0.15082105469409543
"(900.0, 17100)",294.22420083519546,0.1507950824647242
"(900.0, 17400)",294.2218534498678,0.15076992915715934
"(900.0, 17700)",294.2195803188248,0.15074557417026732
"(900.0, 18000)",294.21737909319853,0.1507219895989157
"(900.0, 18300)",294.21524749625746,0.15069915178248483
"(900.0, 18600)",294.21318332761865,0.15067703567943783
"(900.0, 18900)",294.2111844543385,0.15065561916985099
"(900.0, 19200)",294.2092488115232,0.1506348799336898
"(900.0, 19500)",294.20737439843947,0.15061479692686647
"(900.0, 19800)",294.20555927822153,0.1505953492010487
"(900.0, 20100)",294.2038015751173,0.15057651671137742
"(900.0, 20400)",294.20209947301987,0.15055827989455933
"(900.0, 20700)",294.20045121311557,0.15054061995865553
"(900.0, 21000)",294.19885509226856,0.15052351864173524
"(900.0, 21300)",294.19730946113486,0.15050695830032354
"(900.0, 21600)",294.1958127225856,0.15049092180827803
"(900.0, 21900)",294.1943633300015,0.15047539259843115
"(900.0, 22200)",294.19295978571057,0.15046035461676924
"(900.0, 22500)",294.19160063940427,0.15044579232802502
"(900.0, 22800)",294.1902844866548,0.15043169068373763
"(900.0, 23100)",294.18900996745396,0.15041803511440952
"(900.0, 23400)",294.1877757648177,0.1504048115084774
"(900.0, 23700)",294.1865806034207,0.15039200620200413
"(900.0, 24000)",294.18542324828167,0.15037960596250335
"(900.0, 24300)",294.18430250348405,0.15036759797684734
"(900.0, 24600)",294.18321721094196,0.15035596983688243
"(900.0, 24900)",294.1821662492022,0.15034470952720036
"(900.0, 25200)",294.18114853228667,0.1503338054122307
"(900.0, 25500)",294.1801630085697,0.1503232462245854
"(900.0, 25800)",294.17920865969137,0.15031302105319247
"(900.0, 26100)",294.17828449950537,0.1503031193322291
"(900.0, 26400)",294.1773895730602,0.15029353083004976
"(900.0, 26700)",294.17652295561163,0.150284245638707
"(900.0, 27000)",294.17568375166786,0.15027525416362655
"(900.0, 27300)",294.174871094064,0.15026654711377252
"(900.0, 27600)",294.1740841430659,0.15025811549194676
"(900.0, 27900)",294.17332208550266,0.15024995058561874
"(900.0, 28200)",294.1725841339262,0.15024204395777696
"(900.0, 28500)",294.1718695257976,0.15023438743848985
"(900.0, 28800)",294.171177522699,0.1502269731160674
"(900.0, 29100)",294.17050740956984,0.15021979332939847
"(900.0, 29400)",294.1698584939711,0.1502128406589785
"(900.0, 29700)",294.16923010536607,0.150206107920739
"(900.0, 30000)",294.168621594432,0.15019958815668008
"(900.0, 30300)",294.1680323323805,0.15019327463171234
"(900.0, 30600)",294.16746171031605,0.15018716082098615
"(900.0, 30900)",294.1669091385939,0.15018124041046682
"(900.0, 31200)",294.16637404624237,0.15017550727541595
"(900.0, 31500)",294.1658558803406,0.1501699554952706
"(900.0, 31800)",294.1653541054979,0.15016457932030355
"(900.0, 32100)",294.1648682031802,0.15015937322157877
"(900.0, 32400)",294.16439767129555,0.150154331806144
"(900.0, 32700)",294.1639420234871,0.15014944991302695
"(900.0, 33000)",294.1635007890781,0.15014472239926369
"(900.0, 33300)",294.1630735121328,0.15014014442982493
"(900.0, 33600)",294.1626597516893,0.15013571109346374
"(900.0, 33900)",294.16225907963195,0.15013141817653627
"(900.0, 34200)",294.1618710819391,0.150127261056436
"(900.0, 34500)",294.1614953556275,0.15012323611254547
"(900.0, 34800)",294.1611315145774,0.15011933781372128
"(900.0, 35100)",294.16077918282525,0.15011556282886238
"(900.0, 35400)",294.16043800398484,0.15011190473674496
"(900.0, 35700)",294.1601076175738,0.15010836488071405
"(900.0, 36000)",294.1597876821978,0.15010493700011016
"(900.0, 36300)",294.1594778385537,0.15010162696885174
"(900.0, 36600)",294.15917779612084,0.15009841222681353
"(900.0, 36900)",294.1588872448597,0.1500952991759556
"(900.0, 37200)",294.1586059915838,0.15009224948957917
"(900.0, 37500)",294.1583336351246,0.15008933138383462
"(900.0, 37800)",294.1580698940513,0.15008650558582123
"(900.0, 38100)",294.15781409384005,0.15008390102657318
"(900.0, 38400)",294.15756638530206,0.15008124700336473
"(900.0, 38700)",294.15732651247527,0.15007867693430477
"(900.0, 39000)",294.15709569745263,0.15007570602967177
"(900.0, 39300)",294.1568721837284,0.1500733112448649
"(900.0, 39600)",294.1566557403429,0.15007099221352524
"(900.0, 39900)",294.1564402171727,0.15007069037270593
"(900.0, 40200)",294.15623151166824,0.15006845421714832
"(900.0, 40500)",294.15602940816575,0.15006628879812117
"(900.0, 40800)",294.15585058772393,0.15005865212308403
"(900.0, 41100)",294.1556774237145,0.1500567968442717
"(900.0, 41400)",294.155509737214,0.15005500025147708
"(900.0, 41700)",293.7788793192046,0.27183045699780056
"(900.0, 42000)",293.4241254631653,0.2647548273330032
"(900.0, 42300)",293.0899770893654,0.2580901777291964
"(900.0, 42600)",293.5399742558303,9.570131810408992e-07
"(900.0, 42900)",293.98997132578404,9.891755376778458e-07
"(900.0, 43200)",294.43996829922696,1.02133788741693e-06
"(1800.0, 0)",,
"(1800.0, 300)",293.2472659320402,0.11799880141859326
"(1800.0, 600)",293.341937029865,0.11885173333051037
"(1800.0, 900)",293.43408248207146,0.11968191063415265
"(1800.0, 1200)",293.4591507302698,0.14177698778883888
"(1800.0, 1500)",293.48343049441195,0.14203563027430371
"(1800.0, 1800)",293.5069465750788,0.14228613754926944
"(1800.0, 2100)",293.1408757367411,0.2682880518975523
"(1800.0, 2400)",292.7967987813477,0.26118216173771874
"(1800.0, 2700)",292.47339373193284,0.25450318855379733
"(1800.0, 3000)",292.55638032438793,0.122729444723643
"(1800.0, 3300)",292.63693869438265,0.12352636403119038
"(1800.0, 3600)",292.7151406505461,0.124299972642671
"(1800.0, 3900)",292.73193835267455,0.14449687167064904
"(1800.0, 4200)",292.74816715270396,0.14468325080949895
"(1800.0, 4500)",292.7638463181268,0.14486331768715294
"(1800.0, 4800)",292.77893150784814,0.14505792390363026
"(1800.0, 5100)",292.79350572062674,0.14522532563883414
"(1800.0, 5400)",292.80758626465934,0.14538705701599244
"(1800.0, 5700)",292.8210727494835,0.1455816984183209
"(1800.0, 6000)",292.83410228731805,0.14573139862800857
"(1800.0, 6300)",292.8466903603706,0.14587602671838562
"(1800.0, 6600)",292.86428614684695,0.14423418504266372
"(1800.0, 6900)",292.88129315458883,0.14442711698342242
"(1800.0, 7200)",292.89773108492636,0.1446135931613714
"(1800.0, 7500)",293.0895830984409,0.08668519895856541
"(1800.0, 7800)",293.277617641032,0.08794488496325281
"(1800.0, 8100)",293.46191062936043,0.08917950544819266
"(1800.0, 8400)",292.7952587662139,0.3627861189413436
"(1800.0, 8700)",292.183609768112,0.345238216579024
"(1800.0, 9000)",291.62240251308873,0.32913746247539194
"(1800.0, 9300)",292.07240284861683,-1.1399402704556141e-07
"(1800.0, 9600)",292.52240319848204,-1.1829662885363555e-07
"(1800.0, 9900)",292.9724035612581,-1.225992307851552e-07
"(1800.0, 10200)",293.291200987053,0.04426253616376246
"(1800.0, 10500)",293.6067925753773,0.045325519988828694
"(1800.0, 10800)",293.9192105298418,0.046377814297493124
"(1800.0, 11100)",293.9264979006289,0.1476097846056434
"(1800.0, 11400)",293.93355474500726,0.14768539593199076
"(1800.0, 11700)",293.9403883553775,0.14775861539328602
"(1800.0, 12000)",293.94702332704145,0.14782376631931018
"(1800.0, 12300)",293.9534484183862,0.14789260589281863
"(1800.0, 12600)",293.9596702684376,0.14795926790289657
"(1800.0, 12900)",293.96568914602216,0.14802584219085438
"(1800.0, 13200)",293.971517629203,0.14808829047862423
"(1800.0, 13500)",293.977161740702,0.14814876334749416
"(1800.0, 13800)",293.98262883780563,0.14820682296676077
"(1800.0, 14100)",293.9879229955016,0.14826354611762438
"(1800.0, 14400)",293.99304968434194,0.14831847495828648
"(1800.0, 14700)",293.9980137839249,0.14837180334347352
"(1800.0, 15000)",294.002820855156,0.14842330775692153
"(1800.0, 15300)",294.0074758652812,0.14847318294174147
"(1800.0, 15600)",294.0119837357819,0.1485214439023583
"(1800.0, 15900)",294.01634900976825,0.1485682147547732
"(1800.0, 16200)",294.0205761979654,0.14861350611470076
"(1800.0, 16500)",294.024669638518,0.14865737458927317
"(1800.0, 16800)",294.0286335921223,0.14869984557785568
"(1800.0, 17100)",294.03247215481184,0.14874097309054637
"(1800.0, 17400)",294.0361893010598,0.14878079699823893
"(1800.0, 17700)",294.0397888636004,0.14881936379090077
"(1800.0, 18000)",294.04327456193465,0.14885671060830516
"(1800.0, 18300)",294.04664999575886,0.14889287674571589
"(1800.0, 18600)",294.04991865519304,0.14892789814341992
"(1800.0, 18900)",294.05308391780864,0.14896181171659342
"(1800.0, 19200)",294.0561490549111,0.14899465232017056
"(1800.0, 19500)",294.05911723317445,0.14902645427243152
"(1800.0, 19800)",294.06199151967746,0.14905725024020763
"(1800.0, 20100)",294.06477488432444,0.14908707209613967
"(1800.0, 20400)",294.0674702033812,0.14911595055302387
"(1800.0, 20700)",294.0700802619758,0.14914391550374065
"(1800.0, 21000)",294.0726077571757,0.14917099583149668
"(1800.0, 21300)",294.07505530065,0.14919721954646187
"(1800.0, 21600)",294.07742542149504,0.14922261373215326
"(1800.0, 21900)",294.07972056879356,0.1492472046325139
"(1800.0, 22200)",294.081943114179,0.149271017650464
"(1800.0, 22500)",294.0840953542525,0.1492940773962123
"(1800.0, 22800)",294.0861795129701,0.14931640769689267
"(1800.0, 23100)",294.0881977439322,0.1493380316288231
"(1800.0, 23400)",294.09015213261756,0.14935897153545047
"(1800.0, 23700)",294.09204469853495,0.14937924905466884
"(1800.0, 24000)",294.09387739731164,0.14939888513911126
"(1800.0, 24300)",294.0956521227123,0.14941790007941294
"(1800.0, 24600)",294.09737070859677,0.14943631352403924
"(1800.0, 24900)",294.0990349308145,0.14945414450009223
"(1800.0, 25200)",294.10064650903996,0.14947141143262058
"(1800.0, 25500)",294.10220710854946,0.14948813216390264
"(1800.0, 25800)",294.1037183419418,0.1495043239717893
"(1800.0, 26100)",294.1051817708055,0.14952000358761477
"(1800.0, 26400)",294.10659890733075,0.14953518721343606
"(1800.0, 26700)",294.1079712158737,0.14954989053881237
"(1800.0, 27000)",294.1093001144684,0.14956412875698152
"(1800.0, 27300)",294.11058697629244,0.14957791658059286
"(1800.0, 27600)",294.1118331310864,0.14959126825686156
"(1800.0, 27900)",294.1130398665271,0.14960419758235388
"(1800.0, 28200)",294.114208429559,0.14961671791715153
"(1800.0, 28500)",294.1153400276816,0.1496288421988787
"(1800.0, 28800)",294.1164358301982,0.14964058295574606
"(1800.0, 29100)",294.117496969423,0.14965195231996442
"(1800.0, 29400)",294.1185245418531,0.14966296203921953
"(1800.0, 29700)",294.1195196093002,0.14967362349033447
"(1800.0, 30000)",294.12048319999036,0.14968394768907206
"(1800.0, 30300)",294.1214163096181,0.14969394530552657
"(1800.0, 30600)",294.12231990238485,0.14970362666947717
"(1800.0, 30900)",294.12319491198053,0.14971300178834065
"(1800.0, 31200)",294.12404224258114,0.1497220803425669
"(1800.0, 31500)",294.1248627697507,0.1497308717167927
"(1800.0, 31800)",294.12565734139605,0.14973938498235154
"(1800.0, 32100)",294.126426778523,0.1497476289625354
"(1800.0, 32400)",294.1271718762069,0.14975561216262429
"(1800.0, 32700)",294.12789340422427,0.14976334288028903
"(1800.0, 33000)",294.1285921082971,0.14977082900531596
"(1800.0, 33300)",294.12926871041077,0.14977807832332138
"(1800.0, 33600)",294.1299239102636,0.1497850981441271
"(1800.0, 33900)",294.1305583843168,0.14979189608944823
"(1800.0, 34200)",294.1311727881855,0.1497984789967914
"(1800.0, 34500)",294.1317677546838,0.14980485434465063
"(1800.0, 34800)",294.1323439007316,0.14981102734625482
"(1800.0, 35100)",294.1329018216722,0.14981700507859227
"(1800.0, 35400)",294.1334421017165,0.1498227911930367
"(1800.0, 35700)",294.1339652911958,0.1498283968019802
